Keyword	Tags	Insights
The matrix		
Deadpool		
Iron man 3		
Star trek		
The hunger games		
Logan	
Iron man		
Marvel entertainment		
Ghost rider		
Fantastic four		
The karate kid		
Ghostbusters		
Devil may cry		
Minecraft		
Luke skywalker		
Iron man		
Hulk		
Spiderman		
Sachin tendulkar		
Virat kohli		
Cristiano ronaldo		
Fifa world cup	
Cricket world cup		
Katie holmes		
Logan paul		
Jennifer lawrence		
Jason momoa		
Morena baccarin	
Potato chip		
Fried chicken		
Pepsi	
Mountain dew		
Biscuits		
Pineapple		
Bottled water	
Kale		
Coffeemaker		
Watermelon		
Ketchup	
Cream soda		
Pomegranate		
Lemon	
Coca cola zero	
Doritos	
Diet coke		